datetime	FF	FX	N	P	T	TD	U	gasPower	hour	dayofweek	season
2017-02-22 11:00:00	11.388333320617676	17.11833381652832	7.833333492279053	1006.1500244140624	10.266666412353516	8.199999809265138	86.66666412353516	0.1802490234375	11	2	1
2017-02-22 12:00:00	11.266666412353516	16.06333351135254	6.0	1006.3333129882812	10.233333587646484	8.216666221618652	86.83333587646484	0.521435546875	12	2	1
2017-02-22 13:00:00	10.581666946411133	15.05666732788086	6.833333492279053	1006.0166625976562	9.966667175292967	8.399999618530272	89.5	0.16270751953125	13	2	1
2017-02-22 14:00:00	10.68333339691162	15.986666679382324	7.833333492279053	1005.4833374023438	9.699999809265137	8.516666412353517	92.0	0.0587890625	14	2	1
2017-02-22 15:00:00	11.036666870117188	16.288333892822266	7.666666507720947	1004.9833374023438	9.699999809265137	8.5	91.83333587646484	0.0776123046875	15	2	1
2017-02-22 16:00:00	10.688333511352539	14.911666870117188	7.666666507720947	1004.6500244140624	9.56666660308838	8.533333778381348	92.83333587646484	0.392919921875	16	2	1
2017-02-22 17:00:00	8.058333396911621	12.048333168029785	7.5	1005.683349609375	8.800000190734863	8.133333206176758	95.16666412353516	0.1498779296875	17	2	1
2017-02-22 18:00:00	5.913333415985107	9.936666488647461	6.833333492279053	1005.683349609375	8.733333587646483	8.183333396911621	95.66666412353516	0.06663818359375	18	2	1
2017-02-22 19:00:00	6.75	9.771666526794434	8.0	1005.683349609375	8.766666412353517	7.550000190734862	91.5	0.07889404296875	19	2	1
2017-02-22 20:00:00	5.928333282470702	8.885000228881836	8.0	1005.7833251953124	8.583333015441895	7.866666793823242	94.66666412353516	0.48424072265625	20	2	1
2017-02-22 21:00:00	6.226666450500487	8.545000076293945	8.0	1005.5833129882812	8.866666793823242	8.433333396911621	96.66666412353516	0.22154541015625	21	2	1
2017-02-22 22:00:00	6.353333473205566	9.00333309173584	8.0	1005.4500122070312	9.149999618530273	8.633333206176758	96.0	0.14979248046875	22	2	1
2017-02-22 23:00:00	5.348333358764648	7.788333415985107	6.333333492279053	1005.316650390625	8.766666412353517	8.433333396911621	97.16666412353516	0.14410400390625	23	2	1
2017-02-23 00:00:00	5.369999885559082	7.760000228881836	6.166666507720947	1004.88330078125	8.816666603088379	8.5	97.5	0.05869140625	0	3	1
2017-02-23 01:00:00	5.072500228881836	7.638333320617676	7.5	1004.5916748046876	8.800000190734863	8.524999618530272	97.58333587646484	0.46693115234375	1	3	1
2017-02-23 02:00:00	4.570000171661377	6.4519996643066415	6.199999809265138	1004.2999877929688	8.760000228881836	8.539999961853027	98.1999969482422	0.64249267578125	2	3	1
2017-02-23 03:00:00	5.2266669273376465	7.704999923706055	6.166666507720947	1003.61669921875	8.5	8.300000190734862	98.16666412353516	0.0728515625	3	3	1
2017-02-23 04:00:00	7.258333206176758	10.729999542236328	7.5	1002.4666748046876	8.683333396911621	8.25	96.66666412353516	0.70306396484375	4	3	1
2017-02-23 05:00:00	11.559999465942385	16.316667556762695	8.0	1001.1166381835938	8.883333206176758	8.233333587646483	95.5	0.0759033203125	5	3	1
2017-02-23 06:00:00	12.423333168029785	17.889999389648438	8.0	1000.1500244140624	8.983333587646484	8.300000190734862	95.0	0.5097412109375	6	3	1
2017-02-23 07:00:00	11.511667251586914	17.524999618530273	8.0	999.3499755859376	9.31666660308838	8.266666412353517	92.66666412353516	0.271728515625	7	3	1
2017-02-23 08:00:00	10.793333053588867	15.494999885559082	8.0	998.5999755859376	9.18333339691162	8.233333587646483	93.16666412353516	0.3718017578125	8	3	1
2017-02-23 09:00:00	11.251667022705078	17.27166748046875	8.0	997.1666870117188	9.300000190734863	8.066666603088379	91.66666412353516	0.24532470703125	9	3	1
2017-02-23 10:00:00	10.68333339691162	16.22833251953125	8.0	995.7333374023438	9.399999618530273	7.683333396911621	88.33333587646484	0.479638671875	10	3	1
2017-02-23 11:00:00	10.81666660308838	15.690000534057615	7.833333492279053	994.3499755859376	8.966666221618652	7.849999904632567	92.16666412353516	0.11920166015625	11	3	1
2017-02-23 12:00:00	10.926666259765623	16.301666259765625	7.666666507720947	992.38330078125	8.850000381469727	7.900000095367432	93.0	0.63623046875	12	3	1
2017-02-23 13:00:00	11.838333129882812	17.40333366394043	7.833333492279053	990.183349609375	9.100000381469727	8.033333778381348	92.5	0.31500244140625	13	3	1
2017-02-23 14:00:00	14.841667175292967	21.65833282470703	8.0	988.9016723632812	10.133333206176758	7.416666507720947	82.83333587646484	0.129443359375	14	3	1
2017-02-23 15:00:00	15.0649995803833	21.83833312988281	7.666666507720947	988.2833251953124	9.533333778381348	5.800000190734862	76.83333587646484	0.67945556640625	15	3	1
2017-02-23 16:00:00	15.036666870117188	21.4516658782959	8.0	987.4666748046876	9.199999809265137	4.883333206176758	74.0	0.156005859375	16	3	1
2017-02-23 17:00:00	15.426666259765625	23.21999931335449	8.0	987.1033325195312	9.0	4.116666793823241	71.0	0.08828125	17	3	1
2017-02-23 18:00:00	15.188333511352539	23.25333404541016	7.0	987.7333374023438	8.333333015441895	3.3499999046325684	70.66666412353516	0.562158203125	18	3	1
2017-02-23 19:00:00	15.03166675567627	22.45833396911621	8.0	988.3999633789062	8.633333206176758	2.433333396911621	64.66666412353516	0.09564208984375	19	3	1
2017-02-23 20:00:00	15.380000114440918	23.38833236694336	7.666666507720947	989.4666748046876	8.083333015441895	2.1666667461395264	65.66666412353516	0.4726318359375	20	3	1
2017-02-23 21:00:00	14.666666984558105	21.821666717529297	8.0	990.38330078125	6.75	2.75	75.16666412353516	0.20550537109375	21	3	1
