datetime	FF	FX	N	P	T	TD	U	gasPower	hour	dayofweek	season
2017/2/24 5:00	6.4595828	9.582537014	4.187924629	1006.159304	4.686930094	2.258172875	83.48041236	0.195202914	5	4	1
2017/2/24 6:00	7.990300576	11.9501108	6.10946981	1007.251423	3.82080191	1.203915203	81.8582493	0.343766041	6	4	1
2017/2/24 7:00	6.262763582	9.529128729	6.490499579	1008.154222	4.167464728	1.492569553	81.89940473	0.246102318	7	4	1
2017/2/24 8:00	4.630957991	6.279650123	4.875728272	1009.657805	3.103308914	1.305243514	86.78140149	0.194100223	8	4	1
2017/2/24 9:00	3.850083009	6.270437486	5.455138983	1010.798376	3.221276232	1.766278411	88.79372859	0.445048902	9	4	1
2017/2/24 10:00	2.602903949	3.436909246	5.815849943	1011.922899	3.572824686	2.305787944	89.97922484	0.235857494	10	4	1
2017/2/24 11:00	4.145162098	6.337904924	5.691453123	1012.862303	5.869106395	3.813847577	85.77279742	0.36045148	11	4	1
2017/2/24 12:00	4.961653354	7.373386082	6.690478824	1013.953182	5.55848792	3.447330968	84.9707941	0.275128786	12	4	1
2017/2/24 13:00	4.369695217	6.41150725	5.094473	1014.738981	6.376035922	2.7590348	76.53390617	0.130452592	13	4	1
2017/2/24 14:00	5.410674796	7.714674385	5.310983036	1015.179874	7.583713106	3.659793218	75.58111663	0.151367628	14	4	1
2017/2/24 15:00	5.208749639	7.635910888	6.796169515	1015.305997	8.094138358	3.679555419	72.96996719	0.139057985	15	4	1
2017/2/24 16:00	5.063137561	6.956578718	5.458927123	1015.726464	7.49700738	2.676430964	69.72053784	0.18959602	16	4	1
2017/2/24 17:00	5.096141294	7.462981142	5.189580989	1016.397859	7.505475828	2.596104357	69.91063309	0.226830056	17	4	1
2017/2/24 18:00	4.895056619	7.241698871	4.66362709	1017.368773	6.383541508	2.854559922	75.78318607	0.349561629	18	4	1
2017/2/24 19:00	3.716996262	5.266957386	4.999838849	1018.18518	5.113136016	2.356031319	80.19727082	0.175091217	19	4	1
2017/2/24 20:00	3.159419705	4.444762179	6.859277269	1019.038853	4.733342825	2.860083467	85.57446566	0.349628351	20	4	1
2017/2/24 21:00	1.639274462	2.062808697	1.657489096	1019.810609	2.333174948	1.806603483	92.40673175	0.198481065	21	4	1
2017/2/24 22:00	2.206486884	2.626940281	2.756705444	1020.070468	0.782455251	0.885138834	97.01277677	0.119788406	22	4	1
